question_id,domain,question_text,showPolicy,triggerSignals (comma-sep flags),priorityBoost (0-100),branch_variants? (Y/N),notes
LEG_01,Legal,Do you have a will?,always,,0,N,"Universal. Everyone sees it in base order."
LEG_02,Legal,Who is your executor?,always,,0,N,"Universal."
LEG_03,Legal,Have you named a guardian for your children?,ifSignal,"hasYoungChildren,becameResponsible",95,Y,"Situational: only shown to parents. LEADS when 'became responsible' fires. Branches on 'yes/no guardian named'."
LEG_04,Legal,Have you re-checked beneficiaries since your last life change?,always,"majorLifeChange",90,N,"Boosted universal: everyone sees it, jumps to #1 after a major life change (divorce/marriage/move)."
LEG_05,Legal,Do you have a succession plan for your business?,ifSignal,"isBusinessOwner,worthProtecting",92,Y,"Situational: only business owners. Leads for 'something worth protecting'."
LEG_06,Legal,Do you have a durable power of attorney?,always,"recentNearMiss",70,N,"Boosted universal: jumps up after a health scare."
LEG_07,Legal,Have you re-titled assets after your divorce?,ifSignal,"postDivorce,majorLifeChange",88,N,"Situational: post-divorce re-titling cluster."
FIN_01,Financial,Do you keep an up-to-date asset inventory?,always,,0,N,"Universal. TEMPLATE ROW - replace with your real Financial Q."
FIN_02,Financial,Are your accounts set up with TOD/POD (transfer-on-death)?,always,"hasAssets,worthProtecting",60,Y,"Boosted universal. TEMPLATE ROW."
PHY_01,Physical,Do you have an advance directive / healthcare proxy?,always,"recentNearMiss,terminalDiagnosis",95,N,"Boosted universal. Leads on near-miss / terminal. TEMPLATE ROW."
DIG_01,Digital,Do you have a legacy contact set on your devices?,always,"digitalOutweighs",50,N,"Boosted universal (baseline gap - small boost for everyone). TEMPLATE ROW."
DIG_02,Digital,Do you use a password manager your family can access?,always,"digitalOutweighs",50,N,"Boosted universal. TEMPLATE ROW."
YOUR_Q_HERE,Legal|Financial|Physical|Digital,<< paste your 40 B2B questions here >>,always|ifSignal,<< which signal flags surface OR boost this? >>,0-100,Y|N,"For each of your 40: (1) always or ifSignal? (2) which signals? (3) boost score. Higher boost = leads sooner."
