#,Signal (member-facing),Flag,Type,Primarily REORDERS toward,Also GATES (cluster added),LLM lead framing (how the guide speaks)
1,A loss in your circle,recentLossInCircle,Soft (tone/urgency),Fastest-path urgency across all domains,(none),"Met gently; skip the 'why plan' case, move to what they can put in place so their own people aren't left searching."
2,You became responsible for someone,becameResponsible,Hard (reorder + cluster),Kids -> guardian / parent -> caregiving lead,guardian OR caregiver,"Lead with the people they're responsible for (guardianship, care, who steps in) before their own affairs."
3,You settled an estate / carried someone through,settledAnEstate,Soft (tone/urgency),Executor + Crucial Doc Box lead,(none),"Executor's-eye view: the doc box, clear instructions, and access, framed as sparing their people what they just went through."
4,"A near miss (scare, diagnosis, hospitalization)",recentNearMiss,Hard (reorder + cluster),Physical + Healthcare POA lead,advance-directive,"Lead with the medical side (who can decide for them, advance directives) with calm urgency, not alarm."
5,"A major life change (marriage, divorce, move, retirement, citizenship)",majorLifeChange,Hard (reorder + cluster),Beneficiary audit + POA re-check lead,post-divorce re-titling,"Re-check what's now out of date: beneficiaries, titles, named roles that may still point to the old chapter."
6,A new decade or threshold age (40/50/60/65),thresholdAge,Soft (tone/urgency),"Gentle full sweep, no single lead",(none),"Calm complete sweep of the basics; 'let's get the foundation in place while it's quiet.'"
7,Your digital life outweighs your physical,digitalOutweighs,Hard (reorder + cluster),Digital domain leads the whole journey,inheritable-digital-assets,"Digital access (accounts, photos, logins, legacy contacts) as the through-line, since that's where their life lives."
8,"Something worth protecting (property, business, IP)",worthProtecting,Hard (reorder + cluster),Business + asset-transfer lead,business-succession,"Continuity and clean transfer (who takes over, how it passes) before the personal basics."
9,A public case shook you,publicCaseShook,Soft (tone/urgency),Whichever domain the case touched,(none),"Name the specific fear it surfaced and close that exact gap first, so the worry becomes an action."
10,You are tired of the unfinished thing,tiredOfUnfinished,Soft (tone/urgency),Their self-named worry leads,(none),"Honor that and get one meaningful item fully done today, so momentum replaces the nagging."
